freq	eps_real	eps_img
3.862788e+14	4.029752e+00	
3.867932e+14	4.029950e+00	
3.871698e+14	4.030094e+00	
3.875471e+14	4.030239e+00	
3.880617e+14	4.030437e+00	
3.883008e+14	4.030529e+00	
3.889570e+14	4.030781e+00	
3.890549e+14	4.030819e+00	
3.898088e+14	4.031108e+00	
3.898532e+14	4.031125e+00	
3.905632e+14	4.031398e+00	
3.907518e+14	4.031471e+00	
3.913164e+14	4.031687e+00	
3.916530e+14	4.031817e+00	
3.920710e+14	4.031977e+00	
3.925560e+14	4.032164e+00	
3.928251e+14	4.032267e+00	
3.934606e+14	4.032511e+00	
3.935789e+14	4.032557e+00	
3.943331e+14	4.032846e+00	
3.943678e+14	4.032860e+00	
3.950869e+14	4.033136e+00	
3.952766e+14	4.033209e+00	
3.958411e+14	4.033426e+00	
3.961880e+14	4.033559e+00	
3.965948e+14	4.033715e+00	
3.971011e+14	4.033910e+00	
3.973489e+14	4.034005e+00	
3.980168e+14	4.034261e+00	
3.981025e+14	4.034294e+00	
3.988564e+14	4.034584e+00	
3.989341e+14	4.034614e+00	
3.996107e+14	4.034874e+00	
3.998540e+14	4.034967e+00	
4.003644e+14	4.035163e+00	
4.007755e+14	4.035321e+00	
4.011184e+14	4.035453e+00	
4.016997e+14	4.035676e+00	
4.018727e+14	4.035743e+00	
4.026255e+14	4.036032e+00	
4.026263e+14	4.036032e+00	
4.033803e+14	4.036322e+00	
4.035538e+14	4.036389e+00	
4.038444e+14	4.036500e+00	
4.041344e+14	4.036612e+00	
4.044839e+14	4.036746e+00	
4.048888e+14	4.036902e+00	
4.054165e+14	4.037104e+00	
4.056425e+14	4.037191e+00	
4.063508e+14	4.037463e+00	
4.063963e+14	4.037481e+00	
4.071504e+14	4.037770e+00	
4.072876e+14	4.037823e+00	
4.079046e+14	4.038060e+00	
4.082261e+14	4.038184e+00	
4.086580e+14	4.038350e+00	
4.091672e+14	4.038545e+00	
4.094125e+14	4.038639e+00	
4.101109e+14	4.038908e+00	
4.101662e+14	4.038929e+00	
4.109200e+14	4.039219e+00	
4.110562e+14	4.039271e+00	
4.116747e+14	4.039508e+00	
4.120040e+14	4.039635e+00	
4.124286e+14	4.039798e+00	
4.129536e+14	4.040000e+00	
4.131826e+14	4.040088e+00	
4.139057e+14	4.040366e+00	
4.139366e+14	4.040377e+00	
4.146906e+14	4.040667e+00	
4.148595e+14	4.040732e+00	
4.154438e+14	4.040956e+00	
4.158158e+14	4.041099e+00	
4.161978e+14	4.041246e+00	
4.167748e+14	4.041468e+00	
4.169518e+14	4.041536e+00	
4.177057e+14	4.041825e+00	
4.177354e+14	4.041837e+00	
4.184606e+14	4.042115e+00	
4.186985e+14	4.042207e+00	
4.192144e+14	4.042405e+00	
4.196633e+14	4.042577e+00	
4.199681e+14	4.042695e+00	
4.206307e+14	4.042949e+00	
4.207218e+14	4.042984e+00	
4.214763e+14	4.043274e+00	
4.216007e+14	4.043322e+00	
4.222296e+14	4.043563e+00	
4.225723e+14	4.043695e+00	
4.229838e+14	4.043853e+00	
4.235465e+14	4.044069e+00	
4.235685e+14	4.044078e+00	
4.237379e+14	4.044143e+00	
4.244917e+14	4.044432e+00	
4.245233e+14	4.044445e+00	
4.252464e+14	4.044722e+00	
4.255017e+14	4.044820e+00	
4.259998e+14	4.045012e+00	
4.264827e+14	4.045197e+00	
4.267541e+14	4.045302e+00	
4.274654e+14	4.045575e+00	
4.275080e+14	4.045591e+00	
4.282618e+14	4.045881e+00	
4.284516e+14	4.045954e+00	
4.290162e+14	4.046171e+00	
4.294384e+14	4.046333e+00	
4.297704e+14	4.046460e+00	
4.304289e+14	4.046713e+00	
